transaction_id,created_at_UTC,user_phone,amount_paid_cents,zip_code,spot_id
105,2021-12-24 16:25:50,1-997-627-8515,7 669,84028-261,15
106,2022-06-24 00:04:49,1-157-554-6117,891,6786,12
107,2021-01-04 18:20:41,(848) 854-1633,6 546,1881,13
108,2022-05-09 18:52:49,1-870-564-3418,1 935,33515,14
109,2022-11-14 21:16:26,1-363-222-1057,6 145,81433,9
110,2021-10-19 16:15:34,(209) 467-4723,4 233,91346,10
111,2021-01-01 09:39:46,1-912-687-7225,8 402,5365,7
112,2021-05-08 09:38:05,1-961-606-3341,3 479,884853,3
113,2021-06-26 01:58:12,(432) 436-8730,9 951,41130,13
114,2021-05-22 10:42:26,(560) 673-2846,6 811,B2E 4T1,4
115,2022-08-27 01:29:03,1-919-368-0876,5 485,99744,4
116,2022-06-22 11:31:38,(660) 405-4373,9 225,40779,8
117,2021-08-07 11:13:56,(976) 742-0130,7 212,296662,13
118,2021-05-31 09:54:22,1-642-678-8184,1 289,686347,14
119,2022-10-11 09:41:32,(268) 573-7329,8 591,91482-76280,15
120,2021-06-26 21:24:49,(614) 171-9050,5 549,2358,8
121,2021-08-08 04:19:41,1-652-740-1061,7 323,4466,7
122,2022-02-04 08:32:41,1-747-770-3116,5 089,6957,5
123,2022-08-06 02:39:16,(351) 812-8085,9 138,04111,11
124,2021-04-26 17:53:05,1-752-227-6242,736,862242,4
125,2022-06-05 23:52:43,1-192-379-4762,3 077,28-556,13
126,2022-08-07 15:47:50,(386) 656-9007,8 869,41321,7
127,2022-10-23 23:39:53,(627) 260-7123,9 553,31859,3
128,2020-11-17 20:28:05,(960) 536-7104,7 180,736310,4
129,2021-01-09 14:51:04,(361) 564-5674,1 787,844717,14
130,2021-11-08 22:09:52,(895) 416-2328,764,5195,10
131,2020-11-30 22:01:12,(636) 667-6407,1 900,48843,7
132,2022-08-07 16:04:11,1-119-471-9319,4 841,2241 VN,6
133,2021-05-08 17:30:35,1-577-477-6049,3 013,984970,9
134,2020-12-19 10:05:08,(522) 782-2205,7 493,73782,8
135,2020-12-13 05:25:03,(128) 178-4885,7 803,4636,3
136,2022-08-17 12:08:35,1-165-751-6331,2 062,847336,8
137,2022-01-14 00:21:28,1-135-965-6167,4 172,15104,2
138,2021-10-25 15:30:37,(533) 757-4623,654,36172,14
139,2021-05-13 22:32:56,(558) 221-1757,4 078,378415,12
140,2022-09-06 08:18:44,(483) 468-2578,9 930,0629 TC,8
141,2021-01-02 12:44:58,1-236-718-3562,8 650,22572,1
142,2021-10-26 20:52:35,(231) 286-7152,2 461,35615,3
143,2022-01-24 18:52:07,(551) 753-7056,7 995,40041,3
144,2022-09-20 04:30:48,(604) 225-5185,3 577,Y5V 4K5,5
145,2022-02-17 11:36:17,(143) 176-4828,6 422,94548,14
146,2021-07-10 17:31:42,1-727-218-1646,5 276,689772,10
147,2021-02-28 22:55:54,(285) 285-2268,1 674,67-869,15
148,2022-09-29 19:22:11,(799) 229-7222,6 224,1805,13
149,2021-05-22 11:49:08,1-736-203-7148,2 777,636241,3
150,2021-01-09 12:18:26,1-486-658-1435,4 336,8895 OV,9
151,2022-09-22 02:16:44,(948) 101-8328,7 149,74554,7
152,2022-04-19 03:20:58,(503) 234-1247,609,79364,14
153,2022-06-26 12:18:54,(769) 513-5559,2 361,55760,5
154,2021-10-31 15:45:06,1-393-615-3157,1 760,63654-591,5
155,2021-11-18 05:40:58,1-132-327-6736,9 530,68496,8
156,2022-04-05 23:12:30,(215) 523-7643,9 714,20672-56462,7
157,2020-12-30 12:53:46,(685) 473-7364,8 592,55365,5
158,2021-10-03 16:20:53,1-621-761-2538,2 950,53189,5
159,2020-12-04 16:11:20,(214) 951-4850,2 424,962932,1
160,2022-07-06 11:39:45,(574) 425-1584,4 756,33624,3
161,2021-12-05 15:09:45,(663) 477-2367,4 228,488512,7
162,2021-04-26 16:59:41,1-781-567-8223,3 663,5478,3
163,2021-03-17 21:24:35,1-514-478-2687,9 126,V4Y 2X8,4
164,2021-08-29 02:22:04,1-196-337-7655,6 954,81618,2
165,2021-01-21 11:03:20,(206) 197-4523,8 236,12-892,11
166,2022-01-25 11:26:06,(632) 974-2634,8 268,944346,7
167,2022-03-11 19:29:57,(366) 655-9845,5 901,35342,13
168,2022-04-16 10:34:48,1-607-510-1549,8 728,44H 6B4,3
169,2022-02-28 07:07:46,1-956-542-5336,3 550,415879,14
170,2022-07-23 20:55:01,(712) 823-7525,5 129,H1E 4B4,11
171,2020-11-29 17:23:40,(288) 511-3261,6 310,396171,13
172,2022-04-23 17:55:40,(686) 910-6839,4 782,5644,7
173,2021-08-04 08:20:17,(357) 573-5623,2 805,68678,5
174,2021-02-16 04:43:24,1-774-762-2761,7 834,50118,14
175,2021-03-05 13:40:48,(532) 214-5781,8 820,34577,5
176,2022-11-08 10:49:53,(652) 417-3672,1 321,22498,4
177,2021-06-27 22:58:35,(884) 587-4799,2 581,161136,7
178,2022-01-20 21:17:00,1-502-712-4325,9 240,49873,9
179,2021-05-24 09:37:30,1-238-177-2671,3 328,H14 5PK,14
180,2020-12-22 02:19:08,(540) 156-3306,9 583,907621,7
181,2021-07-23 21:09:58,(554) 277-6282,9 748,9174,4
182,2021-02-27 01:47:20,(582) 347-8634,1 913,04207,9
183,2022-01-03 23:49:59,(235) 868-3421,9 514,438569,7
184,2022-03-29 15:10:44,1-856-702-0077,3 168,54848-622,12
185,2021-12-12 15:44:56,1-506-425-8157,9 530,1422,1
186,2020-12-29 06:14:18,(754) 577-7914,4 371,FK4 5KX,6
187,2021-11-29 17:52:41,1-308-880-4543,2 181,2488,10
188,2022-05-06 09:05:10,(423) 663-8313,7 131,52773,8
189,2022-09-21 05:04:27,1-502-723-7955,6 387,78878,2
190,2021-12-11 02:26:36,(828) 566-4233,6 381,8646,3
191,2022-02-08 12:29:50,1-182-164-1796,7 799,68352,9
192,2021-08-14 15:39:37,(913) 787-3498,2 990,23466,5
193,2021-11-23 02:48:39,(723) 874-8782,9 158,82454,10
194,2021-03-03 10:13:12,1-552-316-7617,4 341,22268,2
195,2021-11-23 09:55:11,1-671-476-7452,738,21055,7
196,2022-01-19 05:43:57,(903) 621-3385,9 291,81445,7
197,2022-11-03 12:24:00,(725) 243-8894,4 012,58793-632,10
198,2022-10-23 10:43:10,(812) 816-1511,7 277,66073,11
199,2021-10-13 14:44:26,(599) 638-6377,9 087,91357-71930,3
200,2021-05-01 05:42:46,1-401-416-6389,1 331,TK5I 2PW,11
201,2021-08-27 12:20:20,(805) 675-6677,3 821,9627,10
202,2022-06-17 20:14:22,1-289-673-5914,9 318,72262,8
203,2022-09-12 06:38:23,1-223-277-2954,2 789,663555,6
204,2022-01-26 13:29:51,1-845-461-4282,2 708,7050,7
205,2021-06-10 01:36:29,(581) 863-8115,3 717,5793,8
206,2022-08-27 21:11:25,1-750-245-6746,9 691,22753,2
207,2022-04-13 01:28:36,(725) 890-7645,3 540,5864,10
208,2021-11-18 15:19:52,(546) 642-8945,802,441543,10
209,2022-01-18 22:25:10,1-648-356-5577,4 514,520447,14
210,2021-04-03 20:31:01,1-745-828-0113,3 305,42820,11
211,2022-05-02 23:59:16,1-227-386-2372,7 407,94A 5X5,2
212,2022-07-27 00:03:58,1-525-741-5824,8 305,229647,5
213,2022-06-03 07:54:12,1-527-312-6728,7 666,99-705,6
214,2022-04-11 11:16:57,(772) 721-5842,6 322,4760,11
215,2022-05-05 13:40:58,(368) 322-8476,1 067,S0T 2E7,3
216,2020-11-23 12:26:11,(267) 950-3576,5 261,8168 PK,6
217,2021-08-08 02:15:30,(587) 577-2454,5 080,24138,9
218,2022-03-21 19:23:20,(283) 519-6585,948,35879,4
219,2020-11-30 19:14:43,1-685-877-3291,5 204,37642,7
220,2021-10-29 03:48:28,(892) 878-7258,4 838,786525,7
221,2021-09-19 05:25:20,(200) 516-2439,5 215,63805,4
222,2022-04-05 16:17:30,1-273-768-2807,546,68712,3
223,2022-07-19 01:00:11,(842) 574-5251,467,364056,9
224,2021-07-11 10:48:55,1-650-724-9897,2 557,9964,11
225,2022-10-29 01:39:14,1-885-615-2053,2 527,99898,9
226,2022-06-08 20:06:28,(716) 536-1776,4 962,15224,8
227,2022-06-30 06:09:47,1-517-528-7570,4 826,847346,14
228,2021-10-10 22:30:18,(312) 257-1919,2 155,586464,1
229,2022-05-29 07:19:37,(614) 642-5555,4 386,8975,1
230,2021-09-24 18:18:13,1-546-133-7873,9 368,478934,11
231,2021-02-21 23:46:57,1-865-464-8515,9 359,629786,2
232,2021-08-16 22:08:08,(589) 864-3626,6 981,5960,1
233,2021-04-27 10:52:30,1-256-167-2273,352,27165-32790,4
234,2021-10-31 11:46:23,(745) 752-1481,9 648,391029,5
235,2022-02-09 11:07:12,(310) 785-5575,5 904,2274,7
236,2020-12-02 06:10:04,(534) 868-4311,5 088,285867,12
237,2022-09-03 05:35:47,(685) 981-8384,436,53133,6
238,2022-05-13 09:26:02,1-546-717-5609,4 064,3841,12
239,2022-05-28 19:38:53,(739) 433-7574,8 990,5315,3
240,2021-01-18 16:38:09,1-863-502-5468,9 071,3800,4
241,2022-05-28 22:01:56,(847) 235-8288,1 888,4160,11
242,2021-04-02 09:59:41,(778) 446-4465,3 416,66371,14
243,2021-02-25 00:00:11,1-172-613-8655,6 720,25347,15
244,2022-04-29 03:08:41,(873) 962-8100,9 151,04721,10
245,2021-07-23 01:35:00,(789) 326-3897,9 369,18185-533,14
246,2021-09-27 09:28:00,1-635-334-1565,9 386,11610,2
247,2021-08-02 21:52:41,(744) 444-2247,2 698,26321,11
248,2022-10-12 17:54:05,1-731-947-4561,5 385,5758,4
249,2021-09-11 16:29:35,1-513-234-2658,3 379,767809,6
250,2022-03-15 05:32:21,1-618-138-6813,7 555,65444,7
251,2021-05-30 16:55:47,1-577-433-3563,1 074,4486,10
252,2021-05-19 03:10:42,1-349-862-2745,8 477,4755 CJ,11
253,2022-07-11 10:04:08,(404) 282-6560,9 894,4421 SG,8
254,2021-07-21 16:38:33,(231) 571-7826,7 880,52772,12
255,2021-12-24 01:09:33,1-378-851-1554,3 917,56394,4
256,2021-03-25 15:41:17,(233) 617-1953,8 590,62408-576,9
257,2021-08-23 02:58:57,(941) 341-1223,9 518,61543,8
258,2022-07-21 02:24:28,1-401-352-7777,7 616,777368,8
259,2021-08-18 06:26:26,1-374-557-8735,877,62-845,9
260,2021-06-23 01:01:06,1-304-701-8808,4 121,0218 NI,5
261,2021-12-26 03:55:51,1-750-464-5927,5 778,92672,13
262,2022-03-11 09:44:54,(343) 763-1976,6 722,21114,9
263,2021-06-07 16:11:09,1-829-745-5334,1 225,60969,13
264,2021-11-13 11:17:38,(636) 212-5443,615,N5 6HK,14
265,2021-11-14 13:28:01,(836) 711-3825,2 931,15919,11
266,2021-06-04 11:34:03,(314) 865-2601,4 828,41615,2
267,2022-09-12 07:41:21,(182) 353-8998,4 531,98-253,13
268,2022-09-05 15:57:15,1-436-722-5615,7 337,28957,4
269,2022-04-26 21:31:24,1-623-915-8515,1 302,4752,14
270,2021-11-04 20:27:04,1-855-742-2207,9 161,12062,6
271,2021-01-23 21:16:22,1-208-231-4900,6 387,155298,2
272,2021-02-02 16:54:44,(486) 471-6321,5 322,6530,4
273,2021-09-26 18:59:42,1-953-408-8743,7 609,34476,13
274,2021-12-29 07:03:46,1-915-525-6659,6 307,21532,7
275,2020-12-24 03:08:50,(457) 556-9367,2 417,385699,8
276,2022-07-21 04:35:34,(176) 667-0087,3 900,65025,9
277,2021-12-04 04:22:41,1-718-866-6857,7 205,69128,4
278,2022-10-08 23:09:44,(355) 764-5843,924,18824,12
279,2020-12-23 03:32:07,1-320-796-0285,697,28520,10
280,2022-01-09 06:33:55,1-532-620-0602,6 895,88-163,14
281,2022-06-30 14:17:17,(314) 153-2856,1 537,74222-94844,10
282,2021-08-30 16:47:03,1-688-394-3481,6 788,459252,13
283,2021-06-16 15:45:38,(307) 706-5860,5 904,59723,5
284,2021-08-11 03:46:42,1-757-266-3742,7 721,B0J 3DQ,13
285,2021-03-25 10:10:52,(656) 338-5289,2 903,7847 DC,6
286,2020-11-19 15:42:20,1-528-606-8022,6 230,252258,8
287,2021-09-19 01:01:57,1-251-582-8434,4 982,A5M 4W2,7
288,2021-06-01 03:56:21,1-237-724-3854,3 923,463583,2
289,2021-02-15 00:29:42,1-694-674-4632,4 571,16675,11
290,2022-05-30 22:11:57,(736) 116-6814,4 898,7922,2
291,2021-04-01 09:10:35,(903) 361-2026,3 476,5249,7
292,2021-07-13 19:36:30,1-407-368-3995,4 320,636273,7
293,2021-11-07 08:48:22,(459) 550-3166,7 810,7851,6
294,2022-09-19 12:50:32,(275) 542-4661,6 684,87871,11
295,2021-05-23 18:16:36,1-282-441-6218,3 703,79122,5
296,2021-01-08 07:02:33,(275) 333-2525,5 667,11892,8
297,2022-07-06 20:20:47,1-569-857-4234,2 805,477583,12
298,2021-01-15 18:50:52,1-727-746-6784,6 006,43860-667,7
299,2022-04-21 01:49:19,1-596-764-3352,8 771,30408,9
300,2022-03-19 12:07:34,(341) 858-7524,6 057,036824,6
301,2022-04-12 21:46:22,1-311-882-2713,9 199,82259,14
302,2022-04-19 08:30:40,(311) 571-5281,9 765,7411,8
303,2022-04-15 13:10:22,(323) 758-5648,3 587,6794,10
304,2022-03-28 02:10:08,1-516-826-7541,4 776,72115,12
305,2021-11-17 12:56:00,(425) 679-0838,2 903,13467,13
306,2020-11-28 10:39:24,(648) 886-9518,7 445,62254,8
307,2021-01-23 01:25:07,1-511-364-9610,7 921,15874,8
308,2021-04-13 22:09:20,(586) 846-2731,4 218,623184,6
309,2021-03-16 04:26:08,1-318-644-9113,3 357,58209,8
310,2022-06-27 03:10:17,(194) 658-7844,2 986,N5 2CD,14
311,2021-03-10 11:21:51,(263) 184-2513,2 222,315458,6
312,2022-03-12 19:36:28,1-212-650-8622,8 895,84L 1S4,15
313,2022-10-25 21:41:14,1-326-728-7163,5 054,3747,3
314,2021-05-10 12:51:16,(566) 567-2834,9 399,65505,2
315,2021-04-01 13:14:05,1-878-956-5694,8 046,41208,12
316,2022-04-12 03:39:47,(281) 879-7582,3 218,23987,13
317,2022-09-15 07:40:05,(627) 984-5406,4 832,11647,2
318,2022-11-06 21:01:41,(761) 821-8587,3 023,B8K 2A7,7
319,2021-03-23 03:04:52,(316) 711-8338,7 309,15969,10
320,2022-10-19 15:00:45,(623) 613-4766,2 019,137086,14
321,2022-09-07 14:12:21,(587) 963-4181,3 106,77-533,10
322,2022-07-18 15:58:00,1-158-284-3375,8 157,35777,12
323,2022-03-18 05:01:51,(386) 220-0823,8 586,7852,5
324,2021-01-22 14:48:30,1-690-438-8963,7 668,RC5 8EO,3
325,2021-02-21 12:51:42,1-514-368-0389,2 086,X5J 3B4,2
326,2021-10-09 04:11:19,(647) 401-7424,4 031,39243,13
327,2022-08-18 19:00:18,1-671-277-2568,5 205,432516,5
328,2022-05-21 07:56:34,(187) 321-8061,7 512,98097,7
329,2022-08-03 03:38:14,(616) 418-6476,8 148,1173,8
330,2021-11-21 16:13:45,(247) 436-9617,9 789,469457,11
331,2022-03-29 04:22:51,(801) 361-7799,8 448,757252,6
332,2022-08-25 14:22:17,(608) 285-8689,9 099,82844,10
333,2021-11-01 00:34:57,(185) 456-6864,1 046,2971,2
334,2021-03-30 05:40:59,1-413-650-2524,2 210,24033,11
335,2021-02-14 20:13:29,(514) 859-1579,5 200,58824-413,9
336,2022-07-19 19:57:30,(482) 963-3537,8 979,17880-50458,3
337,2021-12-10 09:30:39,1-824-235-2012,2 793,3168,7
338,2022-03-18 08:32:48,(181) 310-0418,4 840,9766,1
339,2022-02-05 21:17:50,1-696-733-4948,5 390,820511,11
340,2022-09-06 21:22:13,(901) 164-9692,5 298,675266,11
341,2022-07-08 21:30:55,(877) 630-2367,1 109,3722 LT,14
342,2022-06-02 01:16:24,(177) 652-4273,9 638,1637,6
343,2022-09-18 20:13:42,1-718-275-1362,7 427,635042,3
344,2021-03-08 12:58:11,(731) 652-9154,1 419,7137,12
345,2020-12-06 13:45:04,1-627-241-4040,8 917,4277 PA,5
346,2022-10-26 22:56:18,1-808-960-3416,8 814,50591,10
347,2020-11-21 07:22:58,(547) 920-6319,329,30205,4
348,2021-10-03 19:18:55,1-425-845-5613,2 588,92557,12
349,2021-09-20 21:25:13,(262) 301-2753,4 240,19246,13
350,2022-05-02 11:17:48,1-530-536-1572,9 286,3252,15
351,2022-01-25 08:34:28,1-535-221-4008,2 724,35367,3
352,2022-02-21 01:25:43,(658) 776-8376,9 319,16898,9
353,2021-09-10 17:39:44,(336) 633-3465,4 468,822945,7
354,2020-12-27 09:08:07,1-758-305-2931,7 413,762637,4
355,2022-01-22 19:29:46,1-355-775-4375,4 993,24855,6
356,2022-07-15 19:06:03,(687) 262-6722,1 929,36274,3
357,2021-05-22 09:14:34,1-423-817-6660,6 502,252815,11
358,2021-08-25 20:31:21,(172) 675-7761,6 536,9563 JV,14
359,2022-08-15 05:34:25,(515) 872-4681,1 459,4574,13
360,2022-04-26 06:47:52,1-377-757-4374,9 167,8282,14
361,2022-01-21 20:48:07,(764) 514-6422,1 715,8275,11
362,2021-07-26 02:28:37,(621) 412-2912,6 646,14879,12
363,2022-02-24 06:29:15,(906) 824-7443,6 705,811547,4
364,2020-11-24 13:58:30,(214) 226-7431,1 240,5120,1
365,2022-08-09 02:46:52,(333) 324-2647,7 737,3357,4
366,2021-01-22 08:54:10,1-621-661-7348,5 168,30297,2
367,2022-03-22 03:37:53,1-601-761-2235,7 432,51416,10
368,2022-10-27 13:12:22,(153) 385-7178,7 782,58737,4
369,2021-01-01 10:04:10,(226) 527-9413,8 795,4608,10
370,2021-10-10 21:18:24,1-647-396-2647,4 412,77713,4
371,2022-06-09 22:37:21,(406) 762-1648,8 832,86071,5
372,2021-03-15 08:38:37,(560) 188-1664,2 891,1539,4
373,2021-12-17 04:04:07,1-454-899-8150,4 254,4377,8
374,2021-09-08 07:27:11,1-803-883-1186,5 816,19733,13
375,2022-05-06 11:51:44,1-369-215-5257,2 805,1714,7
376,2022-07-10 16:13:22,(330) 476-8861,2 387,76576,7
377,2021-11-06 09:47:09,(393) 397-9352,699,792408,12
378,2020-12-29 23:48:29,1-937-316-9870,5 321,881675,5
379,2021-08-31 16:01:08,(773) 502-3707,4 399,518757,12
380,2022-03-05 03:13:09,(573) 634-0741,7 839,65021-121,12
381,2021-07-08 13:50:08,1-584-245-8566,5 326,13-890,1
382,2022-09-25 01:26:19,(565) 252-3670,7 643,M34 8BW,8
383,2022-01-01 18:47:05,(608) 322-4590,8 191,16654,2
384,2022-03-05 08:44:14,(136) 758-3400,6 152,11622,8
385,2022-03-01 19:08:23,1-620-424-1056,2 069,D27 8WJ,14
386,2021-07-19 07:45:32,1-257-875-2416,4 164,348055,5
387,2021-09-03 16:07:37,1-699-296-6463,9 825,37421,3
388,2022-08-07 14:02:48,1-894-385-2862,2 466,64871,15
389,2021-12-04 08:37:18,1-341-587-4037,6 261,165665,1
390,2022-04-30 10:43:41,1-622-705-7482,5 187,8816,5
391,2021-07-11 09:01:26,1-865-800-7831,9 876,03505,8
392,2021-06-05 21:03:59,1-558-136-1372,5 799,63024-58164,10
393,2022-06-07 02:20:46,1-751-265-6079,5 045,6556 ZP,11
394,2021-07-29 14:15:51,1-820-776-8072,2 319,97648,14
395,2021-04-26 20:21:43,(889) 441-2428,3 999,10823,5
396,2022-07-17 08:59:02,(621) 688-5118,2 805,01414,7
397,2021-11-24 00:04:28,(250) 201-9682,4 452,05-136,13
398,2021-11-01 18:43:32,(675) 884-8426,795,66585,9
399,2021-04-06 15:07:19,(187) 265-5074,1 695,403517,2
400,2022-01-18 07:54:09,1-433-881-7512,6 135,54876,6
401,2022-04-07 16:08:21,1-723-650-3673,9 928,60401,5
402,2022-11-03 22:47:33,(385) 344-5612,213,7728,9
403,2021-12-05 01:33:47,(118) 120-1330,1 301,403412,2
404,2022-04-20 23:30:54,1-517-371-0482,1 780,241466,7
405,2021-01-01 18:45:42,1-228-287-4813,9 158,62721,6
406,2021-04-30 18:28:26,1-223-710-8077,6 399,554335,14
407,2021-03-13 08:48:09,(513) 522-6824,3 892,8414,13
408,2022-08-28 06:16:07,1-645-595-3853,6 165,1619,7
409,2021-07-27 10:56:45,1-218-764-8339,3 918,42417,1
410,2021-03-05 07:26:46,(111) 478-5328,9 506,36355833,12
411,2022-09-29 11:58:19,(305) 621-9246,2 745,91272,9
412,2022-07-22 02:13:02,(862) 567-9567,6 892,12057-14831,14
413,2021-07-13 04:09:31,1-394-386-5133,6 697,392661,6
414,2021-06-27 01:09:21,1-932-311-1049,3 664,27797,14
415,2022-04-10 20:53:47,1-981-457-7959,7 023,37249,8
416,2020-12-11 07:43:40,1-261-650-6855,4 732,62717,11
